Dia
1 de Março de 2021 - 31 de Outubro de 2021
Campanha,Dia,Código da moeda,Impr.,Cliques,CPM médio,CPC médio,CTR,Conversões,Conv. de visualização,Custo / conv.,Taxa de conv.,Custo
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-06-02,BRL,5.563,352,"101,19","1,60","6,33%","111,00",0,"5,07","31,53%","562,91"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-07-22,BRL,1.668,142,"66,18","0,78","8,51%","53,50",0,"2,06","37,68%","110,38"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-10-19,BRL,2.129,184,"112,64","1,30","8,64%","46,00",0,"5,21","25,00%","239,82"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-04-12,BRL,807,85,"302,73","2,87","10,53%","25,00",0,"9,77","29,41%","244,30"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-04-14,BRL,703,87,"312,48","2,52","12,38%","26,00",0,"8,45","29,89%","219,67"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-04-29,BRL,806,80,"322,41","3,25","9,93%","36,50",0,"7,12","45,63%","259,86"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-06-15,BRL,4.972,366,"108,02","1,47","7,36%","119,50",0,"4,49","32,65%","537,10"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-06-23,BRL,1.281,117,"74,66","0,82","9,13%","51,00",0,"1,88","43,59%","95,64"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-06-26,BRL,1.914,183,"68,50","0,72","9,56%","64,00",0,"2,05","34,97%","131,11"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-07-02,BRL,1.384,127,"71,77","0,78","9,18%","46,00",0,"2,16","36,22%","99,33"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-07-05,BRL,1.342,130,"57,38","0,59","9,69%","36,00",0,"2,14","27,69%","77,00"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-07-14,BRL,1.221,122,"56,10","0,56","9,99%","51,47",0,"1,33","42,19%","68,50"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-10-20,BRL,2.656,189,"103,87","1,46","7,12%","44,00",0,"6,27","23,28%","275,87"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-09-21,BRL,3.637,280,"53,93","0,70","7,70%","124,69",0,"1,57","44,53%","196,14"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-09-22,BRL,2.807,239,"52,52","0,62","8,51%","96,00",0,"1,54","40,17%","147,43"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-04-30,BRL,948,100,"465,85","4,42","10,55%","30,00",0,"14,72","30,00%","441,63"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-03-16,BRL,1.425,133,"253,78","2,72","9,33%","33,00",0,"10,96","24,81%","361,64"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-03-23,BRL,1.617,170,"279,76","2,66","10,51%","60,00",0,"7,54","35,29%","452,37"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-03-24,BRL,1.557,163,"287,50","2,75","10,47%","59,00",0,"7,59","36,20%","447,63"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-06-07,BRL,4.136,305,"79,00","1,07","7,37%","104,50",0,"3,13","34,26%","326,76"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-06-12,BRL,6.701,542,"127,85","1,58","8,09%","191,79",0,"4,47","35,39%","856,74"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-07-29,BRL,1.170,97,"53,87","0,65","8,29%","45,00",0,"1,40","46,39%","63,03"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-10-24,BRL,2.996,226,"154,00","2,04","7,54%","22,50",0,"20,51","9,96%","461,39"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-09-03,BRL,2.736,255,"61,78","0,66","9,32%","144,00",0,"1,17","56,47%","169,02"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-03-29,BRL,1.143,144,"223,42","1,77","12,60%","37,00",0,"6,90","25,69%","255,37"
